"SAMPLEID","INDEX_REGION","INDEX_NAME","ni_total","nt_CruMol","pi_ffg_pred","pi_ffg_shred","pi_habit_cling","pi_CruMol","nt_tv_toler","pt_NonIns","pi_habit_climb","pi_EPT","pi_EPTNoBaeHydro","pi_tv_toler","nt_EPT","pi_Cru","pt_tv_intol","nt_NonIns","pi_ffg_scrap","pi_IsopGastHiru","pi_NonIns","pi_Pleco","pt_tv_toler","pi_ffg_col","pi_habit_sprawl","nt_Trich","nt_habit_cling","pi_tv_intol","SC_nt_CruMol","SC_pi_ffg_pred","SC_pi_ffg_shred","SC_pi_habit_cling","SC_pi_CruMol","SC_nt_tv_toler","SC_pt_NonIns","SC_pi_habit_climb","SC_pi_EPT","SC_pi_EPTNoBaeHydro","SC_pi_tv_toler","SC_nt_EPT","SC_pi_Cru","SC_pt_tv_intol","SC_nt_NonIns","SC_pi_ffg_scrap","SC_pi_IsopGastHiru","SC_pi_NonIns","SC_pi_Pleco","SC_pt_tv_toler","SC_pi_ffg_col","SC_pi_habit_sprawl","SC_nt_Trich","SC_nt_habit_cling","SC_pi_tv_intol","sum_Index","Index","Index_Nar"
"010066-9/13/12","NARROW","MIEGLE_2020",341,6,14.6627565982405,11.7302052785924,51.0263929618768,10.8504398826979,6,20,14.0762463343109,47.2140762463343,39.2961876832845,7.33137829912023,15,1.17302052785924,22.2222222222222,9,29.3255131964809,6.74486803519062,15.8357771260997,0.293255131964809,13.3333333333333,36.0703812316716,15.8357771260997,8,17,31.9648093841642,NA,NA,80.0845020651185,NA,NA,NA,54.8190476190476,24.2045028538414,55.6910061175337,NA,59.8500640792977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.649122734839,54.9298245469678,"Good"
"010077-8/1/12","NARROW","MIEGLE_2020",274,5,18.2481751824818,2.18978102189781,63.5036496350365,5.47445255474453,1,20.5128205128205,7.2992700729927,52.9197080291971,17.5182481751825,1.09489051094891,16,2.18978102189781,33.3333333333333,8,10.9489051094891,2.18978102189781,6.56934306569343,4.37956204379562,2.56410256410256,37.956204379562,6.56934306569343,9,17,47.0802919708029,NA,NA,99.3736736314238,NA,NA,NA,52.8654456654457,61.7085220088948,65.5333931847457,NA,94.0038854822075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.484919972717,74.6969839945435,"Good"
"010108-6/15/07","VERYNARROW","MIEGLE_2020",346,4,1.73410404624277,16.1849710982659,70.8092485549133,8.38150289017341,1,26.0869565217391,3.75722543352601,78.3236994219653,58.9595375722543,0.289017341040462,12,7.51445086705202,43.4782608695652,6,13.2947976878613,0.578034682080925,9.2485549132948,5.49132947976879,4.34782608695652,22.5433526011561,5.78034682080925,6,10,66.1849710982659,NA,NA,78.7239027524121,98.0103823168557,NA,NA,45.4330854445027,NA,NA,NA,NA,76.2845849802372,88.2052254480427,95.3306675578193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.98784849987,80.3313080833116,"Very good"
"010108-6/28/17","VERYNARROW","MIEGLE_2020",273,2,6.59340659340659,21.2454212454212,42.1245421245421,11.7216117216117,1,16.6666666666667,7.69230769230769,50.1831501831502,35.8974358974359,0.366300366300366,11,11.3553113553114,37.5,4,13.9194139194139,0.366300366300366,12.8205128205128,4.3956043956044,4.16666666666667,45.7875457875458,4.02930402930403,6,12,39.1941391941392,NA,NA,71.4760509232007,55.7586421042011,NA,NA,78.8620771232553,NA,NA,NA,NA,68.3794466403162,82.1765635609616,79.4858203021468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.138600654082,72.6897667756803,"Good"
"010108-6/7/12","VERYNARROW","MIEGLE_2020",304,4,4.93421052631579,10.8552631578947,8.55263157894737,10.8552631578947,2,22.7272727272727,0.986842105263158,13.8157894736842,9.21052631578947,0.657894736842105,8,6.90789473684211,22.7272727272727,5,1.31578947368421,0.657894736842105,11.1842105263158,0.328947368421053,9.09090909090909,76.3157894736842,7.23684210526316,4,7,7.56578947368421,NA,NA,86.357400232176,6.3081920444062,NA,NA,57.3553132460159,NA,NA,NA,NA,44.6640316205534,89.1572834141546,40.3320241910223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.174244748328,54.029040791388,"Good"
"010109-6/18/07","MIDSIZEDRY","MIEGLE_2020",328,6,12.5,11.890243902439,51.5243902439024,3.65853658536585,2,22.5806451612903,7.92682926829268,56.4024390243902,41.7682926829268,2.13414634146341,15,1.21951219512195,32.258064516129,7,19.5121951219512,2.13414634146341,13.719512195122,6.09756097560976,6.45161290322581,50.609756097561,15.5487804878049,6,16,27.4390243902439,28.5714285714286,41.2705464238116,74.2347836984609,54.1588595029461,93.9333400405306,60,47.5214625937651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.690420830943,57.0986315472776,"Good"
"010109-6/7/12","MIDSIZEDRY","MIEGLE_2020",274,5,12.043795620438,6.56934306569343,30.6569343065693,1.82481751824818,4,18.9189189189189,2.55474452554745,32.4817518248175,25.5474452554745,29.5620437956204,16,0.72992700729927,29.7297297297297,7,10.5839416058394,1.45985401459854,8.39416058394161,1.82481751824818,10.8108108108108,63.5036496350365,13.1386861313869,6,15,14.5985401459854,42.8571428571429,39.2438721476586,87.2538706491475,20.0505627763474,97.5352238887288,20,63.7094654336034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.650137752628,52.9500196789469,"Good"
"010109-8/16/17","MIDSIZEDRY","MIEGLE_2020",256,6,12.890625,4.296875,50,7.421875,4,21.4285714285714,6.640625,51.953125,19.921875,10.546875,13,1.953125,21.4285714285714,9,11.71875,5.46875,14.0625,0.78125,9.52380952380952,65.625,9.375,4,13,15.234375,28.5714285714286,43.0058862727677,92.8141057010032,51.6672115070284,86.5412001571401,20,52.6146267525578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.214458961926,53.6020655659894,"Good"
"010110-6/18/07","VERYNARROW","MIEGLE_2020",192,3,23.9583333333333,23.4375,38.0208333333333,28.6458333333333,1,20,18.2291666666667,19.2708333333333,9.89583333333333,0.520833333333333,8,27.6041666666667,24,5,5.72916666666667,0,32.2916666666667,1.04166666666667,4,44.7916666666667,5.20833333333333,4,12,9.89583333333333,NA,NA,68.3364365511315,49.7139981342368,NA,NA,67.0333569907736,NA,NA,NA,NA,44.6640316205534,56.6721603097368,43.7052743175192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.125257923951,55.0208763206585,"Good"
"010110-6/28/17","VERYNARROW","MIEGLE_2020",264,4,13.2575757575758,21.969696969697,53.7878787878788,20.4545454545455,2,17.8571428571429,9.84848484848485,21.969696969697,10.6060606060606,0.757575757575758,10,19.6969696969697,28.5714285714286,5,6.43939393939394,0.757575757575758,20.8333333333333,0.378787878787879,7.14285714285714,43.9393939393939,4.16666666666667,5,12,11.3636363636364,NA,NA,70.4387038531983,72.9383985680937,NA,NA,74.6375342187975,NA,NA,NA,NA,60.4743083003953,69.0833939774452,55.8214380371815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.393776955111,67.2322961591852,"Good"
